host_ip,dhcp_relay_ip,dhcp_relay_interface,vrf_name,vrf_ip,vrf_ip_mask,vrf_interface
129.14.16.108,,,5G,10.78.169.93,255.255.255.252,xgei-1/2/0/2.100
129.14.16.108,,,5G,10.54.29.1,255.255.255.252,xgei-1/2/0/3.101
129.14.16.108,,,5G,10.50.29.1,255.255.255.252,xgei-1/2/0/3.1001
129.14.16.108,,,5G,10.78.169.101,255.255.255.252,xgei-1/2/0/4.100
129.14.16.108,,,5G,10.54.28.209,255.255.255.252,xgei-1/7/0/2.101
129.14.16.108,,,5G,10.50.28.209,255.255.255.252,xgei-1/7/0/2.1001
129.14.16.108,,,ZN01,10.78.169.17,255.255.255.252,xgei-1/1/0/2.90
129.14.16.108,,,ZN01,10.78.169.93,255.255.255.252,xgei-1/2/0/2.90
129.14.16.108,,,ZN01,10.78.169.101,255.255.255.252,xgei-1/2/0/4.90
129.14.16.108,,,ZN01,10.78.171.73,255.255.255.252,xgei-1/2/0/1.90
